Id,sequence_id,patient_id,avg_0,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8,avg_9,avg_10,avg_11,avg_12,avg_13,avg_14,avg_15,file_size,result
300001,0,3,-6.09334e-07,0.0902417,0.0524584,-0.11065,0.00538366,0.0333547,-0.00941226,-0.0204506,-0.0908498,-0.0192496,0.0524677,-0.0172171,0.106684,0.0750918,0.137222,-0.0307368,5008718,0
300002,0,3,-1.05794e-07,0.103155,0.0549295,-0.118517,0.00961724,0.0375455,-0.00391216,-0.0239632,-0.0946924,-0.0204093,0.0517876,-0.0190956,0.110063,0.0797079,0.146984,-0.0390162,4978904,0
300003,0,3,6.4977e-07,0.0867827,0.048725,-0.108675,0.00887967,0.0336585,-0.0072584,-0.020512,-0.0804556,-0.0144801,0.0503412,-0.0137205,0.097009,0.0659948,0.127459,-0.0320631,4970745,0
300004,0,3,4.89298e-07,0.0935708,0.050104,-0.107241,0.00859948,0.0361168,-0.00532414,-0.0241661,-0.0859752,-0.0196586,0.0468868,-0.0169243,0.101308,0.0711592,0.131016,-0.0337296,4908162,0
300005,0,3,7.22249e-07,0.0968133,0.0574371,-0.121601,0.00942916,0.0404033,-0.0015714,-0.0268744,-0.0917286,-0.0177948,0.0541588,-0.0175367,0.113362,0.0755405,0.143829,-0.0388628,4994210,0
300006,0,3,-6.63249e-07,0.101966,0.0567295,-0.122258,0.0122543,0.0458966,-7.17489e-05,-0.0278297,-0.0988547,-0.0263078,0.0532371,-0.0216835,0.113433,0.0803928,0.153504,-0.0376884,5047703,0
300007,1,3,-2.80457e-06,0.165436,0.107439,-0.23029,0.0258803,0.0841954,0.000819763,-0.0429812,-0.198194,-0.0515152,0.113369,-0.0225013,0.213042,0.147518,0.288354,-0.0606064,5468430,0
300008,1,3,-2.31527e-06,0.166618,0.125882,-0.263545,0.0334609,0.091468,0.00231306,-0.0434612,-0.20685,-0.043138,0.119846,-0.0329445,0.241445,0.164772,0.329501,-0.0731857,5401326,0
300009,1,3,1.98466e-06,0.160557,0.10893,-0.235286,0.0192363,0.0804772,0.00408536,-0.0448864,-0.195457,-0.0527517,0.113886,-0.0290281,0.232171,0.159096,0.304121,-0.0626372,5311274,0
300010,1,3,-2.17692e-07,0.17328,0.1115,-0.240504,0.0244281,0.0941256,0.00699925,-0.0523866,-0.215534,-0.0502135,0.119039,-0.0309762,0.233216,0.157363,0.316396,-0.0629842,5343927,0
300011,1,3,4.44539e-06,0.176436,0.114612,-0.239736,0.0263574,0.0927529,0.00825234,-0.0445934,-0.201535,-0.0552971,0.11887,-0.0312222,0.225093,0.152153,0.298894,-0.0710463,5424011,0
300012,1,3,-2.51261e-06,0.14881,0.100378,-0.239679,0.0341416,0.10253,0.00202657,-0.0535533,-0.199077,-0.0395624,0.104597,-0.0331387,0.237828,0.171011,0.32237,-0.069164,5420130,0
300013,2,3,-3.45866e-07,0.112324,0.0786996,-0.218826,0.0235176,0.0874686,0.00161807,-0.0556302,-0.167771,-0.0620838,0.105457,-0.019474,0.217423,0.165415,0.279073,-0.0440624,5280122,0
300014,2,3,9.23665e-07,0.134058,0.085225,-0.221025,0.0180539,0.0728372,0.0020648,-0.0549757,-0.16751,-0.0485537,0.105496,-0.0255954,0.215476,0.15982,0.278376,-0.0477075,5285226,0
300015,2,3,7.55819e-07,0.180122,0.116275,-0.235983,0.0210155,0.0814181,-0.0053634,-0.04608,-0.188799,-0.0433946,0.11712,-0.0278251,0.219395,0.151514,0.288879,-0.072718,5272634,0
300016,2,3,-2.31222e-06,0.189905,0.12577,-0.247254,0.0245626,0.0866569,0.00246441,-0.0465088,-0.197153,-0.0538349,0.119498,-0.0391742,0.239742,0.151568,0.30159,-0.075128,5343274,0
300017,2,3,-1.6276e-08,0.15749,0.111913,-0.221658,0.0297,0.094369,0.00962137,-0.0397264,-0.18894,-0.0570887,0.106286,-0.0388031,0.211102,0.141153,0.287377,-0.064586,5426713,0
300018,2,3,-9.72493e-07,0.174998,0.106854,-0.238762,0.0261259,0.0858103,-0.00128068,-0.0471492,-0.187368,-0.0522587,0.114094,-0.0288136,0.230904,0.15046,0.289289,-0.0675971,5328227,0
300019,3,3,3.23486e-06,0.183306,0.118058,-0.243132,0.0153163,0.0751903,-0.0046411,-0.0487203,-0.192247,-0.0444924,0.121319,-0.0275497,0.240972,0.15932,0.308375,-0.0705241,5398696,0
300020,3,3,1.71712e-06,0.180864,0.125563,-0.264724,0.0322563,0.0870567,-0.00130253,-0.047374,-0.208371,-0.0579074,0.127625,-0.0308916,0.252677,0.171536,0.332551,-0.0839056,5403990,0
300021,3,3,-2.1403e-06,0.14369,0.105653,-0.231843,0.0277477,0.0904908,-0.00117956,-0.0524514,-0.183885,-0.0548231,0.110337,-0.0356237,0.223745,0.159126,0.290386,-0.0543425,5410220,0
300022,3,3,1.74357e-06,0.15727,0.0926011,-0.259672,0.0201535,0.114489,0.00567024,-0.0671613,-0.206927,-0.0613601,0.123829,-0.0249928,0.253596,0.188782,0.331127,-0.0618771,5359125,0
300023,3,3,6.56128e-07,0.134795,0.0798008,-0.199008,0.000712638,0.0509959,-0.00359914,-0.0424947,-0.141147,-0.023805,0.10995,-0.00441331,0.179875,0.119345,0.22725,-0.0557711,5311348,0
300024,3,3,-6.10352e-09,0.121867,0.0637661,-0.169604,-0.0025546,0.0409328,-0.00729259,-0.0366128,-0.110403,-0.000514672,0.10083,-0.00359607,0.14375,0.0979427,0.185818,-0.0564128,5233027,0
300025,4,3,6.92749e-07,0.134099,0.0753742,-0.159555,-0.000116059,0.0376083,-0.00956146,-0.0342253,-0.123117,-0.0172426,0.0849619,-0.00267566,0.142104,0.105445,0.186246,-0.0570836,5137972,0
300026,4,3,-8.24483e-07,0.131213,0.0678909,-0.18313,-0.00382827,0.0352748,-0.0207634,-0.0463951,-0.115709,-0.00446355,0.107491,0.00843336,0.166926,0.107843,0.205796,-0.0568875,5296792,0
300027,4,3,5.48808e-07,0.133726,0.0736043,-0.177271,0.00373707,0.0486869,-0.01227,-0.0383548,-0.125543,-0.0121077,0.100493,-0.00121174,0.150784,0.104966,0.203542,-0.0631468,5278298,0
300028,4,3,-3.46375e-07,0.128305,0.0694368,-0.170453,0.00115797,0.0412911,-0.0159965,-0.0368216,-0.125955,-0.0111512,0.096978,-0.00640428,0.153328,0.104958,0.205951,-0.0533469,5229267,0
300029,4,3,2.69063e-07,0.139705,0.077059,-0.176489,0.00269926,0.0409994,-0.0153589,-0.0369283,-0.125872,-0.00752367,0.0942338,-0.00680852,0.148462,0.103479,0.203497,-0.0581671,5265082,0
300030,4,3,-1.4445e-07,0.135545,0.0666834,-0.174408,-0.000866098,0.0361837,-0.0162457,-0.0462758,-0.117628,-0.00780362,0.0985206,0.00233388,0.15327,0.108591,0.199454,-0.0600045,5227765,0
300031,5,3,2.46175e-07,0.126271,0.0658125,-0.171922,-0.000375209,0.0450913,-0.0131672,-0.0377989,-0.110829,8.62701e-05,0.106374,-0.00418436,0.138416,0.0914715,0.190465,-0.0581719,5268473,0
300032,5,3,-3.95711e-07,0.146453,0.0805541,-0.185391,-0.00295825,0.0350589,-0.0167165,-0.0358838,-0.128772,-0.00668238,0.113078,-0.00950395,0.160601,0.100264,0.212505,-0.0587548,5251670,0
300033,5,3,-5.70679e-07,0.137429,0.0791626,-0.178245,-0.00107413,0.0443665,-0.0141132,-0.040834,-0.127217,-0.0113984,0.105188,-0.00524312,0.159372,0.105446,0.209361,-0.062616,5284287,0
300034,5,3,6.70369e-07,0.151916,0.0772548,-0.199292,-0.000334015,0.0463625,-0.0212451,-0.0424747,-0.130924,-0.00403732,0.118042,0.000261438,0.174212,0.116403,0.221428,-0.0681966,5249499,0
300035,5,3,7.97526e-07,0.152813,0.0883422,-0.183862,0.00877086,0.051417,-0.0130173,-0.0400204,-0.137695,-0.0240715,0.0917044,-0.015371,0.175405,0.114378,0.216463,-0.0606746,5241750,0
300036,5,3,-5.28463e-07,0.147238,0.0821291,-0.175504,0.00591207,0.0496912,-0.0110588,-0.036184,-0.130292,-0.0225039,0.093416,-0.0192339,0.160601,0.107704,0.206091,-0.0582049,5228892,0
300037,6,3,1.07015e-06,0.158233,0.090709,-0.185529,0.0164132,0.0607342,-0.00158851,-0.0367545,-0.160888,-0.0360199,0.0918714,-0.0245116,0.169941,0.11716,0.23115,-0.0586037,5294463,0
300038,6,3,8.54492e-08,0.171609,0.0876046,-0.191745,0.0176202,0.0647837,-0.00332826,-0.0370464,-0.154754,-0.0418918,0.0893722,-0.0287543,0.175692,0.12102,0.228733,-0.0636116,5237050,0
300039,6,3,-6.75456e-07,0.149104,0.0790955,-0.18758,0.010066,0.0519092,-0.00925849,-0.041442,-0.131434,-0.0296163,0.0872784,-0.0220005,0.175371,0.126695,0.222379,-0.05525,5327660,0
300040,6,3,-1.18001e-07,0.152826,0.0798668,-0.17873,0.00653781,0.0465798,-0.00548279,-0.0370634,-0.141545,-0.025909,0.0898376,-0.0155243,0.164024,0.11278,0.212851,-0.0554119,5299225,0
300041,6,3,7.1106e-07,0.157342,0.0876337,-0.190568,0.0140627,0.0564461,-0.00389568,-0.0361005,-0.154346,-0.0342592,0.0887571,-0.0266093,0.186567,0.128033,0.233174,-0.0601829,5294502,0
300042,6,3,8.68734e-07,0.147879,0.0793215,-0.177566,0.0144456,0.0566964,-0.00727162,-0.0327537,-0.134557,-0.0268407,0.0807421,-0.0238242,0.169121,0.109474,0.204542,-0.054174,5247934,0
300043,7,3,3.50952e-08,0.139812,0.07323,-0.157099,0.0136494,0.0475797,-0.00786228,-0.0340411,-0.126534,-0.0265503,0.0816163,-0.0135258,0.14187,0.0968865,0.185233,-0.0561216,5172144,0
